id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,103,105,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,106,43,44,45,46,47,48,49,50,51,52,107,53,54,55,56,57,58,59,60,61,62,63,64,65,112,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,109,110,83,84,85,86,87,88,108,89,90,91,92,93,94,95,96,97,98,99,100,101,102,104
1,0,4.845,2.404,5.115,2.974,5.948,1.322,3.786,5.122,3.786,3.096,2.639,3.02,1.675,4.623,3.387,2.967,0.978,1.117,2.985,2.01,5.988,4.714,6.374,6.385,4.532,2.639,2.596,4.568,4.132,2.867,2.461,3.786,2.487,3.487,0.863,0.792,4.092,2.487,2.791,2.639,1.751,2.093,1.727,3.786,3.447,3.211,2.015,0.67,2.767,2.015,2.867,2.779,2.578,2.411,5.013,1.948,0.146,0.146,0.122,0.122,1.391,1.515,0.4,0.801,1.489,0.122,3.131,3.04,2.776,2.665,1.715,2.933,2.015,1.768,2.933,1.744,2.015,7.688,4.252,3.169,4.197,5.532,3.853,6.065,6.429,6.964,4.696,3.157,2.836,4.681,4.605,2.148,3.242,2.417,2.836,3.829,3.968,3.553,2.298,4.963,4.35,8.929,7.604,1.939,5.608,2.761,3.222,7.666,3.19,4.171
2,4.845,0,2.587,4.035,3.071,3.311,0.193,3.495,3.997,3.495,3.087,2.348,2.843,1.742,4.758,0.847,1.889,0.873,1.121,3.218,1.927,4.932,3.684,4.816,3.888,4.321,2.499,2.45,4.714,3.218,1.678,2.781,3.859,2.682,3.435,0.78,1.035,2.887,2.682,2.925,2.348,1.742,2.228,0.437,3.859,2.221,1.838,0.777,0.7,1.584,1.923,2.721,1.45,1.45,1.215,3.786,0.815,0,0.146,0,0,0.357,0.146,0.384,0.888,0.495,0.305,0.874,0.801,1.568,1.729,0.728,1.865,1.02,1.754,1.865,0.728,1.02,5.209,1.681,3.145,2.828,1.718,1.337,4.929,4.033,4.652,4.769,3.218,2.843,3.505,3.549,0.891,2.901,2.167,2.843,3.859,4.096,3.655,2.417,3.853,4.539,5.253,5.18,0.579,4.06,1.681,2.202,5.253,1.705,3.183
3,2.404,2.587,0,2.013,2.064,1.886,0.362,0.99,2.551,0.99,0.981,0.99,0.828,0.866,2.441,0.739,0.838,0.376,0.491,1.294,0.376,2.441,1.294,2.429,2.612,2.136,0.662,1.931,2.441,1.294,0.514,1.441,2.441,0.917,2.265,0.376,0.866,1.66,0.917,0.917,0.99,0.815,1.096,0.605,1.294,2.423,2.103,0.803,0.739,1.939,0.803,0.828,0.785,1.121,0.854,1.855,0.487,0.244,0.365,0.204,0.204,0.597,0.448,0.54,0.548,0.767,0.459,0.914,0.914,0.905,0.743,0.767,0.51,1.006,0.347,0.51,0.816,1.006,2.806,0.662,2.268,0.662,1.131,0.497,2.389,2.88,2.609,2.243,0.917,1.514,1.535,1.096,0.376,0.968,0.966,1.514,2.733,2.064,1.441,0.693,1.962,2.441,2.928,2.928,0.841,2.135,0.917,1.725,2.88,1.029,1.401
4,5.115,4.035,2.013,0,2.472,2.879,1.239,2.791,4.212,2.791,2.497,1.645,2.349,1.233,4.005,1.539,1.261,0.616,0.801,2.621,1.725,5.298,2.889,5.085,4.084,3.731,2.095,2.044,4.06,3.767,2.594,2.182,3.035,2.247,2.89,0.578,0.693,3.035,2.247,2.349,1.645,1.218,1.553,1.347,3.035,2.866,2.61,1.544,0.347,2.44,1.544,2.298,2.166,2.044,2.033,4.06,1.78,0,0.097,0,0,1.342,1.147,0.161,0.682,1.39,0.204,1.512,1.482,2.319,2.537,1.451,2.701,1.707,1.517,2.701,1.451,1.707,4.212,1.147,2.472,2.293,2.171,0.892,4.054,4.182,4.993,4.023,2.594,1.888,3.901,3.993,1.817,2.339,1.646,1.888,2.889,3.567,2.913,2.071,4.582,3.914,5.359,5.328,1.412,4.561,1.223,1.762,5.359,2.242,4.133
5,2.974,3.071,2.064,2.472,0,2.956,0.116,1.766,3.279,1.766,1.457,1.766,1.254,1.325,3.011,0.52,1.462,0.655,0.863,1.535,0.578,3.157,1.925,2.913,3.096,3.792,0.999,2.044,4.121,2.682,0.3,2.243,4.364,2.298,2.997,1.725,1.881,3.218,1.152,1.356,1.766,1.325,1.705,1.347,2.071,2.89,2.61,1.544,1.514,2.476,1.544,2.298,1.019,2.074,2.064,2.974,0.682,0,0.122,0,0,0.244,0,1.376,0.743,0.305,0.255,0.548,0.487,1.213,1.451,2.72,0.448,1.748,1.54,0.448,1.573,1.748,5.572,2.421,3.771,1.274,2.298,2.166,4.267,4.364,3.999,4.206,2.747,3.218,2.816,2.998,0.67,2.39,1.748,4.364,3.071,3.669,2.974,2.11,3.465,3.975,5.572,4.364,0.265,3.516,1.274,1.951,5.572,1.172,3.037
6,5.948,3.311,1.886,2.879,2.956,0,0.401,2.091,2.246,2.091,1.837,0.944,1.799,0.586,3.119,2.041,1.832,0.347,0.393,1.762,1.436,3.192,3.164,3.557,3.566,4.22,1.672,1.717,4.201,2.909,1.436,2.835,3.237,2.742,4.385,1.436,1.412,1.383,1.595,1.748,0.944,0.624,0.746,0.578,2.091,3.286,3.207,1.651,1.585,3.146,2.798,2.869,0.632,1.84,1.937,3.81,0.707,0.487,0.487,0.408,0.408,0.597,0.675,1.795,0.707,0.707,0.408,2.182,2.136,0.912,2.805,1.798,1.575,1.651,2.663,1.575,1.896,1.651,7.308,4.187,3.272,2.994,4.712,4.044,5.644,4.969,5.845,4.305,3.017,1.163,3.56,3.113,0.335,2.222,3.277,2.31,2.31,4.026,3.201,2.679,3.95,4.128,7.479,6.213,0.846,4.571,1.733,2.68,6.161,1.113,3.685
7,1.322,0.193,0.362,1.239,0.116,0.401,0,0,1.326,0,0.069,0,0,0.092,0.138,2.694,0.111,0,0.052,0.138,0,1.285,0.138,1.257,1.34,0,0,0.046,0.138,1.285,1.199,0.193,0.138,0.116,0.493,0,0.092,1.533,0.116,0.116,0,0.069,0.138,1.467,0.138,1.708,1.653,1.262,0.162,1.828,0.116,0,1.193,1.332,1.601,1.791,2.864,1.607,1.662,1.532,1.532,2.906,2.771,1.671,1.745,2.975,1.647,3.03,3.03,2.771,1.561,1.607,1.355,1.355,0.14,1.355,1.699,1.355,0.497,0,0.316,0,1.57,0,0.193,1.672,1.644,0.138,0.116,0.221,1.672,1.285,2.293,0.3,0.424,0.221,0.249,0.116,0.193,0.087,1.216,0.138,2.91,1.764,2.794,1.393,0.116,0.083,1.672,2.617,1.262
8,3.786,3.495,0.99,2.791,1.766,2.091,0,0,3.786,4.86,4.197,3.713,4.136,2.791,4.568,0.7,2.876,2.102,2.24,4.132,2.01,4.787,4.641,3.713,2.566,3.349,2.609,1.34,3.422,2.985,1.596,2.33,3.713,2.487,1.923,0.863,0.792,3.713,2.487,3.877,3.713,2.852,3.185,0.299,4.86,0.71,0.473,0.594,0.396,0,1.741,2.867,1.523,1.157,1.142,3.422,0.655,0,0,0,0,0,0,0.091,0.655,0,0,0.291,0.218,1.508,1.147,0.146,1.512,0.594,1.561,1.512,0.146,0.594,3.786,1.827,1.766,2.974,1.645,1.447,3.549,3.713,4.332,3.476,3.096,2.566,3.185,3.404,1.001,4.121,1.984,2.566,2.348,2.791,3.422,2.298,3.816,4.35,4.932,4.86,0.396,4.06,1.523,0.837,4.932,2.852,3.024
9,5.122,3.997,2.551,4.212,3.279,2.246,1.326,3.786,0,3.786,3.279,3.786,3.02,3.065,4.987,2.033,3.258,2.125,2.401,3.349,0.863,6.352,3.931,5.063,5.282,3.385,1.492,2.542,3.786,3.349,1.658,1.613,5.296,1.645,2.289,0.863,1.035,5.427,1.645,3.096,3.786,3.081,3.604,1.55,4.15,3.313,2.93,1.878,0.655,2.676,0.731,1.721,2.724,2.624,2.471,3.95,2.093,0,0.146,0,0,1.487,1.256,0.379,1.019,1.609,0.305,2.039,1.948,2.898,1.675,1.857,1.893,2.121,0.656,1.893,1.857,2.121,4.339,1.903,3.333,1.903,3.004,1.523,4.07,6.574,5.995,3.913,2.315,3.101,3.68,3.822,2.148,3.087,1.035,3.101,4.062,3.126,2.705,1.381,5.146,4.714,6.665,6.574,1.68,5.377,1.827,2.293,6.665,4.154,4.476
